"Run.Number","Trial.Number","Task","Stimulus","Current.Trial.Type","Previous.Trial.Type","Previous.Trial.Type.N2","Previous.Trial.Type.N3","StimulusOnsetTime","StimulusOffsetTime","Response","RT","Accuracy","PreviousAccuracy","PreviousAccuracy.N2","Previous.Accuracy.N3"
"practice",1,"1_2_stimuli","2_2","Congruent",NA,NA,NA,1.99997,2.199969,"2@",0.54883,"Correct",NA,NA,NA
"practice",2,"3_4_stimuli","4_4","Congruent","Congruent",NA,NA,3.999955,4.19996,"4$",0.74049,"Correct","Correct",NA,NA
"practice",3,"5_6_stimuli","6_5","Incongruent","Congruent","Congruent",NA,5.999932,6.199936,"Omission",5000,"Omission","Correct","Correct",NA
"practice",4,"7_8_stimuli","7_8","Incongruent","Incongruent","Congruent","Congruent",7.999927,8.199916,"Omission",5000,"Omission","Omission","Correct","Correct"
"practice",5,"1_2_stimuli","2_1","Incongruent","Incongruent","Incongruent","Congruent",9.999906,10.199891,"2@",0.516439,"Error","Omission","Omission","Correct"
"practice",6,"3_4_stimuli","4_4","Congruent","Incongruent","Incongruent","Incongruent",11.999883,12.199883,"4$",0.789097,"Correct","Error","Omission","Omission"
"practice",7,"5_6_stimuli","5_6","Incongruent","Congruent","Incongruent","Incongruent",13.999874,14.19987,"Omission",5000,"Omission","Correct","Error","Omission"
"practice",8,"7_8_stimuli","8_7","Incongruent","Incongruent","Congruent","Incongruent",15.999844,16.199854,"Omission",5000,"Omission","Omission","Correct","Error"
"practice",9,"1_2_stimuli","2_2","Congruent","Incongruent","Incongruent","Congruent",17.999833,18.199836,"2@",0.596574,"Correct","Omission","Omission","Correct"
"practice",10,"3_4_stimuli","3_4","Incongruent","Congruent","Incongruent","Incongruent",19.999821,20.199824,"4$",0.94896,"Correct","Correct","Omission","Omission"
"practice",11,"5_6_stimuli","6_6","Congruent","Incongruent","Congruent","Incongruent",21.999801,22.1998,"6^",1.348879,"Correct","Correct","Correct","Omission"
"practice",12,"7_8_stimuli","7_7","Congruent","Congruent","Incongruent","Congruent",23.999796,24.199779,"7&",0.612612,"Correct","Correct","Correct","Correct"
"practice",13,"1_2_stimuli","1_2","Incongruent","Congruent","Congruent","Incongruent",25.999769,26.199768,"2@",0.725042,"Correct","Correct","Correct","Correct"
"practice",14,"3_4_stimuli","3_3","Congruent","Incongruent","Congruent","Congruent",27.99976,28.199761,"3#",0.676644,"Correct","Correct","Correct","Correct"
"practice",15,"5_6_stimuli","6_6","Congruent","Congruent","Incongruent","Congruent",29.999746,30.199737,"6^",1.237148,"Correct","Correct","Correct","Correct"
"practice",16,"7_8_stimuli","8_8","Congruent","Congruent","Congruent","Incongruent",31.99973,32.199716,"8*",0.900706,"Correct","Correct","Correct","Correct"
"practice",17,"1_2_stimuli","2_2","Congruent","Congruent","Congruent","Congruent",33.999701,34.199725,"2@",0.629235,"Correct","Correct","Correct","Correct"
"practice",18,"3_4_stimuli","4_3","Incongruent","Congruent","Congruent","Congruent",35.999691,36.199685,"3#",0.997108,"Correct","Correct","Correct","Correct"
"practice",19,"5_6_stimuli","5_6","Incongruent","Incongruent","Congruent","Congruent",37.999676,38.199668,"6^",1.332629,"Correct","Correct","Correct","Correct"
"practice",20,"7_8_stimuli","7_7","Congruent","Incongruent","Incongruent","Congruent",39.999649,40.199661,"7&",0.645034,"Correct","Correct","Correct","Correct"
"practice",21,"1_2_stimuli","1_1","Congruent","Congruent","Incongruent","Incongruent",41.999636,42.199642,"1!",0.548689,"Correct","Correct","Correct","Correct"
"practice",22,"3_4_stimuli","4_3","Incongruent","Congruent","Congruent","Incongruent",43.999623,44.199626,"3#",0.853181,"Correct","Correct","Correct","Correct"
"practice",23,"5_6_stimuli","5_5","Congruent","Incongruent","Congruent","Congruent",45.999608,46.199596,"5%",1.012724,"Correct","Correct","Correct","Correct"
"practice",24,"7_8_stimuli","7_8","Incongruent","Congruent","Incongruent","Congruent",47.999578,48.199577,"8*",1.04484,"Correct","Correct","Correct","Correct"
"practice",25,"1_2_stimuli","1_2","Incongruent","Incongruent","Congruent","Incongruent",49.999568,50.199561,"2@",0.660767,"Correct","Correct","Correct","Correct"
"practice",26,"3_4_stimuli","4_3","Incongruent","Incongruent","Incongruent","Congruent",51.999551,52.199551,"3#",0.725142,"Correct","Correct","Correct","Correct"
